"dept_id","parent_id","ancestors","dept_name","order_num","leader","phone","email","status","del_flag","create_by","create_time","update_by","update_time"
100,0,"0","Dược Quảng Bình",0,"","0123456789","admin@gmail.com","0","0","admin",2/12/2021 2:06:01 PM,"admin",7/3/2022 3:07:28 PM.657
200,100,"0,100","IT",1,,,,"0","0","admin",3/12/2021 4:36:09 PM,"",
201,100,"0,100","CTCP Dược phẩm Quảng Bình",2,"","","","0","0","admin",6/26/2022 10:24:39 PM.773,"admin",7/3/2022 3:06:06 PM.220
202,100,"0,100","CN DPQB tại huyện Lệ Thủy",3,"","","","0","0","admin",6/26/2022 10:24:49 PM.330,"admin",7/3/2022 3:06:25 PM.153
203,100,"0,100","CN DPQB tại huyện Quảng Ninh",4,,,,"0","0","admin",7/3/2022 3:06:52 PM.510,"",
204,100,"0,100","CN DPQB tại TP Đồng Hới",5,,,,"0","0","admin",7/3/2022 3:07:02 PM.770,"",
205,100,"0,100","CN DPQB tại huyện Bố Trạch",6,,,,"0","0","admin",7/3/2022 3:07:13 PM.050,"",
206,100,"0,100","CN DPQB tại huyện Ba Đồn",7,"","","","0","0","admin",7/3/2022 3:07:23 PM.157,"admin",7/3/2022 3:07:28 PM.640
207,100,"0,100","CN DPQB tại huyện Tuyên Hóa",8,,,,"0","0","admin",7/3/2022 3:07:39 PM.333,"",
208,100,"0,100","CN DPQB tại huyện Minh Hóa",9,,,,"0","0","admin",7/3/2022 3:07:50 PM.743,"",
