"role_id","menu_id"
1,1
1,2
1,3
1,4
1,100
1,101
1,102
1,103
1,104
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
1,200
1,500
1,501
1,1000
1,1001
1,1002
1,1003
1,1004
1,1005
1,1006
1,1007
1,1008
1,1009
1,1010
1,1011
1,1012
1,1013
1,1014
1,1015
1,1016
1,1017
1,1018
1,1019
1,1020
1,1021
1,1022
1,1023
1,1024
1,1030
1,1031
1,1032
1,1033
1,1034
1,1035
1,1036
1,1037
1,1038
1,1039
1,1040
1,1041
1,1042
1,1043
1,1044
1,1045
1,1046
1,1047
1,1048
1,1049
1,1050
1,1051
1,1052
1,1053
1,1054
1,1055
1,1056
1,1057
1,1058
1,1059
1,1060
1,1061
1,2000
1,2001
1,2002
1,2003
1,2004
1,2005
1,2010
1,2012
1,2013
1,2014
1,2015
1,2016
2,4
2,200
2,2000
2,2001
2,2002
2,2003
2,2004
2,2010
2,2012
2,2013
2,2014
2,2015
2,2016
3,4
3,2005
3,2020
3,2021
3,2025
3,2026
3,2027
3,2028
3,2029
3,2030
3,2031
3,2032
3,2033
3,2034
3,2035
3,2036
